                         mean          sd         5.5%         94.5%      rhat
z_host[120]      5.280227e-01 0.609986882 -0.454073362  1.5076152215 0.9999559
z_host[121]     -6.325990e-02 0.984109119 -1.635724982  1.5066576015 1.0050429
z_host[122]      6.479960e-02 0.994500189 -1.539374080  1.6451424240 1.0020360
z_host[123]      1.824068e-01 0.266504114 -0.237669026  0.6004918742 1.0007763
z_host[124]      9.587587e-02 0.948598091 -1.466641978  1.6097213630 0.9998109
z_host[125]      6.976374e-01 0.593739836 -0.226628519  1.6226141190 1.0017923
z_host[126]      3.330561e-01 0.829347298 -0.996196919  1.6906935235 1.0029693
z_host[127]     -2.234498e-02 0.487393560 -0.805010929  0.7629127107 0.9996379
z_host[128]      3.477573e-01 0.798725542 -0.911513743  1.6205118660 1.0011002
z_host[129]      2.985679e-01 0.877099497 -1.122562537  1.7095125890 1.0006126
z_host[130]      5.231435e-02 0.820088632 -1.266951921  1.3436455740 1.0020153
z_host[131]      1.081608e-01 0.946223818 -1.375587822  1.6311976025 1.0008926
z_host[132]      2.518158e-01 0.699494472 -0.888824911  1.3877165000 1.0004847
z_host[133]      6.620007e-02 0.944577199 -1.426255466  1.6061997965 0.9997168
z_host[134]      2.626852e-01 0.938128948 -1.215828150  1.7840984905 0.9997356
z_host[135]      7.975817e-01 0.714553238 -0.355727162  1.9326082885 1.0020147
z_host[136]     -2.800710e-01 0.543582650 -1.151508611  0.5872417160 1.0023584
z_host[137]      1.331127e-01 0.954828062 -1.357964995  1.6679815480 1.0044381
z_host[138]     -5.992131e-02 0.744332987 -1.236980475  1.1222272805 1.0028776
z_host[139]      2.587444e-01 0.864547990 -1.130649049  1.6275392245 0.9998673
z_host[140]      2.057429e-01 0.935405677 -1.262306340  1.6867382045 1.0021343
z_host[141]     -1.061888e-01 1.017687111 -1.748459277  1.5461858270 1.0019032
z_host[142]      6.050343e-01 0.722337228 -0.527715308  1.7602353520 1.0010699
z_host[143]      5.694965e-01 0.751445826 -0.611513693  1.7573653390 1.0007137
z_host[144]      1.081301e-01 0.939607047 -1.363613418  1.6049287820 1.0016973
z_host[145]      6.579199e-02 0.962039407 -1.449349568  1.6100615885 0.9995787
z_host[146]      2.318786e-01 0.392716189 -0.382041653  0.8603546982 0.9997027
z_host[147]      6.816547e-01 0.587939153 -0.245812956  1.6243814450 1.0001276
z_host[148]      6.686959e-02 0.995049056 -1.521462168  1.6185377985 1.0015277
z_host[149]      1.334659e-01 0.968740217 -1.432077371  1.6936205735 1.0008258
z_host[150]      3.449373e-01 0.603373562 -0.615958684  1.2993432640 1.0011236
z_host[151]      5.791465e-01 0.452250582 -0.122856212  1.3123097670 1.0006029
z_host[152]      1.301000e-01 0.955728260 -1.384149220  1.6452357280 1.0007096
z_host[153]      2.781731e-01 0.493573246 -0.510300332  1.0652224045 1.0001689
z_host[154]      1.706839e-01 0.910718718 -1.264424628  1.6362616495 1.0026127
z_host[155]      4.573541e-01 0.510770379 -0.357786177  1.2719076625 0.9999562
z_host[156]      1.926783e-01 0.953047449 -1.365948999  1.6914709380 1.0004787
z_host[157]      4.508148e-01 0.857908124 -0.887957884  1.8726625615 1.0008214
z_host[158]      3.578718e-01 0.888951588 -1.032735871  1.7934335125 1.0007932
z_host[159]      1.974027e-01 0.353426861 -0.369500131  0.7731082778 1.0002053
z_host[160]     -4.283371e-01 0.326388665 -0.955145787  0.0931771950 0.9998200
z_host[161]      5.166380e-01 0.709521559 -0.627935994  1.6588077940 1.0002497
z_host[162]      4.755792e-01 0.841400500 -0.855548525  1.8126398050 1.0006725
z_host[163]      7.222538e-01 0.596935215 -0.234798022  1.6765202550 1.0006670
z_host[164]      3.186128e-01 0.813638780 -1.005075518  1.6120321135 1.0010474
z_host[165]      3.413890e-01 0.415837466 -0.319711647  0.9982869137 0.9999667
z_host[166]      1.488290e-01 0.956922909 -1.397404228  1.6509414575 0.9998902
z_host[167]     -5.871192e-01 0.811630797 -1.890598191  0.7070758372 1.0036794
z_host[168]      5.351844e-01 0.695883879 -0.534679952  1.6311197420 1.0012171
z_host[169]     -2.888706e-02 0.788974293 -1.253907036  1.2094633650 1.0010356
z_host[170]      1.281698e-01 0.863964329 -1.251076983  1.5013947805 1.0001095
z_host[171]     -6.817114e-02 0.929830344 -1.554313295  1.3947138795 1.0008326
z_host[172]      2.403332e-01 0.845947817 -1.105738392  1.5976838625 1.0048140
z_host[173]      4.902507e-02 0.811135262 -1.244827587  1.3299446225 1.0012394
z_host[174]      8.633102e-02 0.929576821 -1.423364221  1.5630491880 1.0000821
z_host[175]      4.026442e-01 0.767531865 -0.821859182  1.6338670045 1.0003448
z_host[176]      1.225279e-01 0.916619640 -1.362523466  1.5835044045 1.0023126
z_host[177]      3.828913e-01 0.518689868 -0.434186777  1.2190637805 1.0019232
z_host[178]     -3.678449e-01 0.898462497 -1.798662355  1.0429771955 1.0033373
z_host[179]     -8.669204e-01 0.685663590 -1.978246114  0.2328655739 1.0014926
z_host[180]      2.048343e-01 0.739868543 -0.948700675  1.3606789325 1.0016407
z_host[181]      6.849213e-01 0.553220651 -0.183367734  1.5622351065 0.9998919
z_host[182]     -2.660870e-01 0.953120628 -1.791639283  1.2639609945 1.0017018
z_host[183]      2.425273e-01 0.900527110 -1.178922279  1.7130733275 0.9999197
z_host[184]      5.248667e-02 0.977961543 -1.496248283  1.6102428515 1.0012732
z_host[185]      1.172756e-01 0.948974754 -1.380773434  1.6538880460 1.0008333
z_host[186]      7.326299e-02 0.957557760 -1.487415242  1.6188009270 0.9998710
z_host[187]      1.440381e-01 0.969597454 -1.364954582  1.6698875600 0.9999841
z_host[188]      3.137087e-01 0.723694184 -0.814298837  1.4701940435 1.0008005
z_host[189]     -1.519151e+00 0.453392915 -2.250824047 -0.7871315035 1.0004023
z_host[190]      5.731427e-01 0.578023097 -0.344389708  1.4941863740 1.0007687
z_host[191]      5.346409e-01 0.343134333 -0.008185335  1.0709209515 1.0001819
z_host[192]      1.872075e-01 0.900557886 -1.224357553  1.6214097345 1.0010803
z_host[193]      6.935061e-01 0.607310228 -0.277892538  1.6732056710 1.0007236
z_host[194]      4.053053e-01 0.563627672 -0.485065621  1.3154951900 1.0001613
z_host[195]     -2.136812e-01 0.516085472 -1.043650487  0.6051680941 1.0018913
z_host[196]     -2.344664e-01 0.971874965 -1.786739497  1.3322298295 1.0019591
z_host[197]      4.120889e-01 0.472501513 -0.311563159  1.1667335570 1.0001960
z_host[198]      7.900366e-02 0.998656215 -1.505222915  1.6640518375 1.0001103
z_host[199]     -2.077467e-01 0.860227261 -1.576924289  1.1683348985 1.0008066
z_host[200]      5.175706e-03 0.926823245 -1.483097738  1.4855897300 0.9996673
z_host[201]      7.235248e-01 0.528716120 -0.112427323  1.5848375865 1.0011955
z_host[202]      4.998234e-01 0.793022128 -0.769328795  1.7672986950 1.0028527
z_host[203]      7.408464e-02 0.994170389 -1.504195950  1.6714348985 0.9999639
z_host[204]      2.324844e-01 0.316337407 -0.272074656  0.7373590797 1.0022151
z_host[205]      5.451945e-01 0.671435204 -0.516910703  1.6318898360 1.0003037
z_host[206]     -6.736019e-01 0.961874184 -2.199533029  0.9026399770 1.0012901
z_host[207]      2.314473e-01 0.870110020 -1.203367299  1.6405050495 1.0005795
z_host[208]      5.423417e-01 0.793349483 -0.728953796  1.8026568410 1.0010513
z_host[209]      4.534577e-01 0.872854602 -0.914804056  1.8578338270 1.0015587
z_host[210]     -1.964588e-01 0.896315410 -1.610607213  1.2252887765 1.0015311
z_host[211]      2.638683e-01 0.903147585 -1.188195430  1.7196152255 1.0011115
z_host[212]      6.614321e-02 1.005942964 -1.515947947  1.6759820095 1.0006610
z_host[213]      1.344143e-01 0.947672268 -1.388699429  1.6368202690 1.0002650
z_host[214]      5.469035e-01 0.795787019 -0.694457000  1.8415457940 1.0003914
z_host[215]     -1.291161e-01 0.605906218 -1.108638601  0.8269979869 1.0004913
z_host[216]      4.910661e-01 0.474171804 -0.269876263  1.2511578050 1.0007077
z_host[217]      1.421664e-01 0.967068430 -1.400630896  1.6898132300 1.0018358
