                        mean         sd         5.5%       94.5%      rhat
z_listing[203]   0.151916810 0.93695409 -1.341552159  1.67868105 0.9997944
z_listing[204]  -0.261259543 0.87332765 -1.651866936  1.14473146 1.0012248
z_listing[205]   0.087060600 0.97656868 -1.511491646  1.63826437 1.0015118
z_listing[206]   0.083388444 0.96117928 -1.446932171  1.61721474 1.0015052
z_listing[207]   0.218628622 0.95258462 -1.284505381  1.71872184 1.0001041
z_listing[208]   0.871659823 0.80297572 -0.363964481  2.22526108 1.0026868
z_listing[209]   0.649775368 0.84084891 -0.660232505  2.04628295 1.0032489
z_listing[210]   0.093382043 0.97962146 -1.472726327  1.65943236 1.0025761
z_listing[211]   0.584286661 0.84979987 -0.739284943  1.99445548 1.0001103
z_listing[212]  -0.456247260 0.79465935 -1.682293709  0.87417248 1.0003374
z_listing[213]  -1.216663410 0.44540097 -1.913034119 -0.48836442 1.0000364
z_listing[214]   0.094119446 0.99223219 -1.525173255  1.73928153 1.0012635
z_listing[215]   0.212643009 0.91772784 -1.236363143  1.68691446 1.0030319
z_listing[216]  -1.441053973 0.66200692 -2.438165250 -0.35430469 1.0040296
z_listing[217]   0.089887387 0.94282586 -1.435200444  1.58386087 1.0005458
z_listing[218]  -1.672627968 0.57689954 -2.556150066 -0.73797180 0.9997303
z_listing[219]   0.112312872 0.96198206 -1.423383755  1.64820942 1.0006444
z_listing[220]  -1.049766248 0.90651844 -2.487411787  0.41606515 1.0008596
z_listing[221]  -0.224350852 0.85691396 -1.550284458  1.14468358 1.0017635
z_listing[222]  -0.812903466 0.54676526 -1.651478952  0.05154056 1.0003585
z_listing[223]   0.074607886 0.97942852 -1.488466792  1.66388764 1.0016322
z_listing[224]   0.097197203 0.94850258 -1.416307655  1.61358817 1.0007936
z_listing[225]   0.616608148 0.84125111 -0.689692511  1.99907980 1.0014069
z_listing[226]  -0.013196892 0.82501052 -1.317589567  1.31746786 1.0005182
z_listing[227]  -0.362950849 0.89353112 -1.764681383  1.08227640 1.0008122
z_listing[228]   0.114352865 0.51838492 -0.687969754  0.98675282 1.0019974
z_listing[229]   0.331075007 0.92085134 -1.119778461  1.84626469 1.0013663
z_listing[230]  -0.066190088 0.82287219 -1.317467827  1.28360580 0.9997107
z_listing[231]  -1.710917119 0.35300377 -2.269629434 -1.14001851 1.0006244
z_listing[232]  -1.086144348 0.57861597 -1.987378743 -0.14572957 0.9996090
z_listing[233]   0.211453938 0.78191812 -1.027753673  1.49282903 0.9999084
z_listing[234]   0.362148564 0.89059910 -1.029405969  1.80066613 1.0006829
z_listing[235]   0.094347554 0.97911214 -1.448507020  1.66596839 1.0013285
z_listing[236]  -0.073440535 0.83522677 -1.351762390  1.26007469 1.0000598
z_listing[237]   0.283682204 0.93053009 -1.183394961  1.79989356 1.0002479
z_listing[238]   0.792917389 0.81947932 -0.463408681  2.15932180 1.0000858
z_listing[239]   0.082008402 0.98825806 -1.487709463  1.64218958 1.0010824
z_listing[240]   0.406674524 0.86319982 -0.959955666  1.82177921 1.0009577
z_listing[241]   0.110099436 0.69579748 -0.989468829  1.24890833 0.9999055
z_listing[242]   0.287071812 0.92256014 -1.134291630  1.78299866 0.9997918
z_listing[243]  -0.444240242 0.93293365 -1.904185620  1.07629338 1.0006703
z_listing[244]   0.077612101 0.96833852 -1.461905511  1.64530224 1.0027600
z_listing[245]   0.151449544 0.94756571 -1.342704708  1.64864213 1.0002150
z_listing[246]  -0.039938958 0.63987781 -1.009517171  1.03234590 1.0018435
z_listing[247]   0.390344457 0.89987177 -1.010696623  1.81114201 1.0015691
z_listing[248]   0.257784566 0.91842380 -1.192106124  1.72260187 1.0002583
z_listing[249]  -0.279611939 0.75346621 -1.442688696  0.93239127 1.0018212
z_listing[250]   0.085542393 0.80120783 -1.153845310  1.36677465 1.0003562
z_listing[251]   0.476422130 0.87561473 -0.894585249  1.86434673 0.9997784
z_listing[252]   0.243236081 0.93719345 -1.244287797  1.75946387 0.9998474
z_listing[253]  -0.513371947 0.94037550 -1.960626755  0.99652306 1.0002082
z_listing[254]   0.090093890 0.97237457 -1.440878725  1.65850685 1.0017727
z_listing[255]  -1.619071028 0.86832514 -3.009916262 -0.23550469 1.0003226
z_listing[256]   0.399043153 0.89001769 -0.983943940  1.83681586 1.0039685
z_listing[257]  -0.251656050 0.76964157 -1.450352721  1.04903630 1.0010657
z_listing[258]   0.219908235 0.91258775 -1.204826350  1.69887394 0.9999469
z_listing[259]   0.168520801 0.93221089 -1.335595102  1.63401076 1.0010739
z_listing[260]   0.103999656 0.96249613 -1.415916753  1.64031975 1.0000147
z_listing[261]   0.443041676 0.89597308 -0.974169184  1.89543190 1.0008756
z_listing[262]  -0.463438625 0.78083980 -1.673327353  0.82584434 1.0002627
z_listing[263]   0.606494789 0.71040163 -0.500405813  1.74621713 1.0003472
z_listing[264]   0.531238077 0.71610337 -0.564386366  1.71163176 1.0018695
z_listing[265]   0.482563937 0.85572116 -0.851267732  1.88952888 1.0025730
z_listing[266]  -0.004340691 0.84237470 -1.293265558  1.38245902 1.0018578
z_listing[267]   0.078084326 0.97376133 -1.434320868  1.62501719 1.0000597
z_listing[268]   0.252837374 0.91844789 -1.184628073  1.71388853 0.9997561
z_listing[269]   0.348445547 0.89750421 -1.078795159  1.79866863 1.0027374
z_listing[270]  -0.505984679 0.93560420 -1.967513505  0.98187631 0.9999608
z_listing[271]  -0.958030011 0.76648239 -2.160422253  0.28315097 1.0005152
z_listing[272]  -0.416261404 0.92280408 -1.912331958  1.04845844 1.0002659
z_listing[273]  -0.509631802 0.92218766 -1.967995084  0.97788046 1.0011496
z_listing[274]   0.578456318 0.88519609 -0.794359118  2.02534036 1.0013436
z_listing[275]   0.219326281 0.97559796 -1.348447359  1.77034418 1.0041920
z_listing[276]   0.865865845 0.77877800 -0.324648393  2.12694852 0.9998807
z_listing[277]   0.819943320 0.81170790 -0.442096185  2.14648781 1.0010442
z_listing[278]  -0.427801165 0.90615250 -1.860558826  1.01935476 1.0001964
z_listing[279]  -0.522716212 0.95834523 -2.056691844  0.99369822 1.0023842
z_listing[280]   0.099936633 0.99120096 -1.470548234  1.70884260 1.0026474
z_listing[281]   1.394515889 0.51124369  0.599479103  2.23073525 1.0011144
z_listing[282]  -0.587205257 0.81422353 -1.870835794  0.76282023 1.0034877
z_listing[283]  -0.580212004 0.96106381 -2.114506247  0.98725247 1.0030464
z_listing[284]  -0.289320494 0.91048782 -1.710563965  1.17924209 1.0010335
z_listing[285]  -1.564823216 0.25563954 -1.978591406 -1.16603475 1.0005522
z_listing[286]   0.383114430 0.89661802 -1.021236796  1.86669149 1.0018095
z_listing[287]   0.358431835 0.92846164 -1.097051462  1.88304847 1.0014093
z_listing[288]  -1.317426586 0.59686896 -2.223751080 -0.32725726 1.0004029
z_listing[289]   0.079720420 0.95669178 -1.441664712  1.63011223 1.0021488
z_listing[290]   0.477913424 0.76680325 -0.686566759  1.71561552 1.0006962
z_listing[291]  -0.842443997 0.76941904 -2.028859398  0.41032551 1.0019628
z_listing[292]   0.243292679 0.92747128 -1.211577858  1.74362229 1.0001106
z_listing[293]  -0.673480123 0.63851793 -1.641962912  0.37187429 1.0014640
z_listing[294]  -0.480126235 0.79345333 -1.709590075  0.83092827 1.0008216
z_listing[295]  -0.421805244 0.90398266 -1.827082878  1.05039090 1.0003311
z_listing[296]  -0.576624544 0.95666236 -2.088834274  0.94412794 1.0011324
z_listing[297]  -0.356802441 0.74437448 -1.526655534  0.85519839 1.0001828
z_listing[298]  -0.349284128 0.88790309 -1.739253269  1.10182987 1.0018200
z_listing[299]   0.109953505 0.99555754 -1.447099963  1.70556842 1.0031030
z_listing[300]   0.164651588 0.94288604 -1.339544768  1.67366041 1.0004900
z_listing[301]  -1.388263571 0.44736908 -2.090120136 -0.67956848 0.9998388
z_listing[302]   0.393825801 0.75390663 -0.760813569  1.66520359 1.0038231
z_listing[303]  -0.408142244 0.92254946 -1.850485270  1.06917799 1.0015684
z_listing[304]   0.147102280 0.95066204 -1.366450878  1.65726853 1.0015385
z_listing[305]   0.262496662 0.94627322 -1.215844946  1.78677592 1.0013839
z_listing[306]  -0.355553043 0.90407198 -1.798596053  1.12010785 1.0002225
z_listing[307]  -0.129545853 0.84912327 -1.434700665  1.26439575 1.0004482
z_listing[308]   0.093506792 1.00083363 -1.510815714  1.70488373 1.0008027
z_listing[309]   0.076882671 0.98525467 -1.482310966  1.61547411 1.0004396
z_listing[310]  -0.899655788 0.73147313 -2.040528590  0.29218121 1.0024158
z_listing[311]  -0.873406830 0.87396646 -2.242123550  0.60778734 1.0003088
z_listing[312]   0.108875680 0.99884290 -1.424042924  1.68907161 1.0029517
z_listing[313]   0.163647437 0.98147970 -1.401455470  1.71175851 1.0025243
z_listing[314]   0.163815669 0.97105625 -1.367905215  1.74422031 1.0012663
z_listing[315]   1.028926697 0.75155153 -0.114315301  2.27603543 1.0004862
z_listing[316]   0.549376360 0.84653407 -0.759416201  1.90838143 1.0005102
z_listing[317]   0.259021886 0.94495677 -1.252050589  1.81091231 1.0024852
z_listing[318]   0.295903902 0.79152053 -0.902637120  1.61326668 1.0019029
z_listing[319]   0.518952619 0.86459868 -0.810842856  1.91784052 1.0009056
z_listing[320]  -0.303333048 0.88689010 -1.677637473  1.15669900 1.0007873
z_listing[321]  -0.009227085 0.71204419 -1.099780399  1.18895172 1.0010031
z_listing[322]   0.785480737 0.71728315 -0.306770320  1.96358306 1.0024567
z_listing[323]   0.167701109 0.95169131 -1.303100527  1.67111980 1.0011864
z_listing[324]  -1.140141192 0.91385166 -2.588205629  0.34116367 1.0004894
z_listing[325]   0.727817336 0.80966660 -0.535056267  2.08494930 0.9999113
z_listing[326]  -0.508353837 0.93982145 -2.001295189  1.00237085 1.0003789
z_listing[327]  -0.600107417 0.98297073 -2.142123592  1.00628218 1.0022437
z_listing[328]  -0.473513266 0.93564982 -1.943569816  1.03571927 1.0014187
z_listing[329]  -1.035584141 0.88209049 -2.439959851  0.38510670 0.9998602
z_listing[330]  -1.130777849 0.63288204 -2.084023565 -0.08777194 1.0012310
z_listing[331]  -0.896524574 0.67889312 -1.948619778  0.21031008 1.0017309
z_listing[332]  -0.398131593 0.76780826 -1.595900197  0.86302455 1.0014562
z_listing[333]   0.098440241 0.97127124 -1.495891605  1.64693864 1.0017210
z_listing[334]  -0.492734488 0.93353451 -1.986698721  1.02888281 1.0024074
z_listing[335]  -1.021029583 0.90814286 -2.438103918  0.47362371 1.0013142
z_listing[336]  -1.022513974 0.91659637 -2.448756284  0.46474643 1.0014273
z_listing[337]  -0.438857710 0.92679868 -1.908777855  1.05742250 1.0035238
z_listing[338]  -0.686661722 0.80256607 -1.944250935  0.64696433 1.0009830
z_listing[339]   0.150316451 0.93675643 -1.317870966  1.67196214 1.0005782
z_listing[340]   0.334269292 0.90281506 -1.055530304  1.81752392 1.0018505
z_listing[341]  -0.419330916 0.87657505 -1.796797716  1.04447723 1.0012317
z_listing[342]   0.341295041 0.87749384 -1.044946704  1.76724216 1.0024459
z_listing[343]  -0.601791120 0.69588735 -1.639914965  0.53525845 1.0011067
z_listing[344]  -0.987583527 0.79259693 -2.205583468  0.28323504 1.0020414
z_listing[345]   0.409208789 0.88006363 -1.004240341  1.80902125 1.0019179
z_listing[346]   0.220400119 0.93984551 -1.269593016  1.73345587 1.0008159
z_listing[347]   0.385981791 0.90522460 -1.044708773  1.87126708 1.0002529
z_listing[348]   0.221771707 0.98017027 -1.349183803  1.81532494 1.0005235
z_listing[349]   0.440649912 0.89619477 -0.995032693  1.87001922 1.0016336
z_listing[350]  -0.044406452 0.84313253 -1.359838338  1.32885981 1.0052937
z_listing[351]   0.214684661 0.92427914 -1.256695287  1.71528056 1.0017615
z_listing[352]   0.203170638 0.96295700 -1.314120877  1.78915079 1.0003327
z_listing[353]   0.098425753 0.98906009 -1.487712951  1.69366339 1.0007502
