                mean         sd      5.5%      94.5%      rhat  ess_bulk
a[254]     4.8041494 0.33667160 4.2620145  5.3451581 0.9996804 6758.8317
a[255]     4.9562685 0.33520657 4.4303025  5.4819226 1.0011269 6986.6687
a[256]     5.7977251 0.32001554 5.2952062  6.3039110 1.0038041 7008.5959
a[257]     4.9231929 0.32347662 4.4072341  5.4508801 1.0033000 6277.0857
a[258]     4.7074016 0.32506912 4.1884780  5.2243874 1.0006383 7679.5103
a[259]     5.0660214 0.24912398 4.6665526  5.4647905 1.0003766 8506.3486
a[260]     5.3358488 0.33057887 4.8088023  5.8723576 1.0021420 6650.9493
a[261]     4.9807739 0.31619575 4.4786507  5.4778987 1.0011405 5994.3389
a[262]     4.7486318 0.33025789 4.2254882  5.2695557 1.0040023 6757.8829
a[263]     5.4344374 0.32505279 4.9271597  5.9488554 1.0023515 7932.0669
a[264]     4.9472903 0.33404518 4.4199252  5.4793547 1.0001609 6921.7936
a[265]     7.4084538 0.24973535 7.0033209  7.8042996 1.0009300 4583.4439
a[266]     6.0841616 0.13950241 5.8601460  6.3107982 1.0019962 7837.0255
a[267]     4.4361448 0.32173115 3.9163015  4.9609161 1.0008467 8790.2025
a[268]     4.5806789 0.33592176 4.0591774  5.1060778 1.0002791 7241.1061
a[269]     4.8351650 0.33317221 4.3037711  5.3669706 1.0017664 6926.1760
a[270]     5.2870235 0.32458335 4.7718589  5.8035842 1.0003214 7486.4783
a[271]     6.3551651 0.32925736 5.8239910  6.8752471 1.0014013 6109.3704
a[272]     5.1402297 0.31930133 4.6288180  5.6352984 1.0035073 6319.6671
a[273]     5.1344413 0.33486491 4.5923338  5.6710485 1.0011516 7289.6137
a[274]     4.3076773 0.33230627 3.7779178  4.8339695 1.0011035 7356.8179
a[275]     4.2319391 0.33176778 3.6999109  4.7488786 0.9999106 6623.8391
a[276]     4.8265388 0.32942055 4.2977596  5.3643063 1.0004888 7181.7809
a[277]     5.1037062 0.34751629 4.5483941  5.6661683 1.0010707 8781.8444
a[278]     5.6448938 0.18372111 5.3573819  5.9414104 0.9998296 7028.6537
a[279]     5.3542073 0.32027406 4.8385299  5.8649115 1.0008192 7356.7369
a[280]     5.9908693 0.32462776 5.4760694  6.5115269 1.0017749 6413.8202
a[281]     4.1616765 0.32922062 3.6362122  4.6944231 1.0014469 5786.1483
a[282]     5.6587260 0.32832680 5.1169768  6.1813965 1.0003765 6850.0042
a[283]     4.7518063 0.33423008 4.2146387  5.2707511 1.0013332 6262.1463
a[284]     4.9076587 0.31729304 4.4021481  5.4112894 1.0011565 7643.5170
a[285]     4.7700924 0.32005129 4.2619169  5.2772968 1.0011886 6920.9857
a[286]     4.0834939 0.32554234 3.5529909  4.6010750 1.0009108 6323.3149
a[287]     4.8899673 0.33368168 4.3588972  5.4137197 1.0008391 7406.0231
a[288]     4.2805902 0.31684745 3.7706323  4.7897768 1.0027597 6100.8637
a[289]     5.0893016 0.32828556 4.5711919  5.6112702 0.9998933 7507.0595
a[290]     5.3051493 0.32200322 4.7913579  5.8207255 1.0022157 6796.7154
a[291]     4.4187635 0.32540357 3.8929848  4.9394897 1.0003378 5911.9369
a[292]     4.9482898 0.33266378 4.4101916  5.4859502 1.0026301 7629.0490
a[293]     5.3171452 0.32746057 4.7971831  5.8402308 1.0011285 7770.7717
a[294]     4.8629957 0.32150250 4.3370527  5.3781708 1.0022477 6566.8454
a[295]     5.7957512 0.32273388 5.2790663  6.3133060 1.0011105 6299.5661
a[296]     5.1529705 0.32310436 4.6246252  5.6688186 1.0000432 7097.0426
a[297]     6.6703834 0.33786078 6.1271599  7.2130473 1.0014497 5534.0068
a[298]     5.3795852 0.32206084 4.8638593  5.9077755 0.9995935 8692.1509
a[299]     4.2902527 0.33806320 3.7415716  4.8326033 1.0008980 6487.6389
