Centered vs non-centered -- same model, different geometry
(rhat and ess over the hyperparameters a_bar and sigma)

               model divergent max_rhat min_ess
     m13.2c centered         0    1.023     150
 m13.2  non-centered         0    1.001     714


m13.2c centered -- hyperparameters

          mean         sd      5.5%     94.5%     rhat ess_bulk
a_bar 2.877291 0.09223285 2.7303683 3.0256022 1.007293 501.4395
sigma 0.623677 0.09710018 0.4716316 0.7785996 1.022600 149.8814


m13.2 non-centered -- hyperparameters

           mean         sd      5.5%     94.5%     rhat ess_bulk
a_bar 2.8760853 0.09448387 2.7303574 3.0307775 1.000963 932.4039
sigma 0.6166877 0.10255011 0.4556542 0.7862754 1.000586 714.1336


m13.2 non-centered -- all parameters

           mean        sd     5.5%    94.5%      rhat ess_bulk
a[139] 2.464606 0.4821346 1.701288 3.262117 1.0002566 2230.755
a[140] 2.975563 0.5214096 2.175708 3.877897 1.0011558 2338.129
a[141] 2.988815 0.5492920 2.133874 3.910135 1.0002398 2055.582
a[142] 2.756594 0.4858129 2.004118 3.561221 1.0033241 2557.555
a[143] 3.005162 0.5129908 2.185870 3.860347 1.0011708 2363.040
a[144] 2.529620 0.4586628 1.809288 3.292550 1.0019342 2553.905
a[145] 3.306021 0.5450000 2.461614 4.207834 1.0015417 1268.026
a[146] 3.051452 0.5140559 2.257268 3.914186 1.0018041 1816.494
a[147] 2.568051 0.4794612 1.825052 3.342226 1.0043351 2247.435
a[148] 3.340995 0.5463357 2.488112 4.259085 0.9998164 2280.472
a[149] 2.846014 0.4815798 2.089671 3.614866 1.0009886 2402.320
a[150] 2.100873 0.4234943 1.437072 2.806514 1.0012478 2216.962
a[151] 2.475447 0.4274150 1.798952 3.158666 1.0010797 2534.236
a[152] 3.388874 0.5353637 2.570864 4.267752 1.0023531 1755.807
a[153] 2.316857 0.4253183 1.649131 3.002208 1.0024641 1718.927
a[154] 1.971058 0.3955784 1.379253 2.598855 1.0013592 2228.591
a[155] 3.408664 0.5375714 2.618314 4.289195 1.0002886 2278.358
a[156] 3.163195 0.4994353 2.413182 3.960460 1.0018503 2412.896
a[157] 3.174479 0.4946698 2.411180 3.976482 1.0039757 1838.068
a[158] 3.182899 0.4911655 2.427350 3.989774 1.0012925 2539.882
a[159] 3.194912 0.4849224 2.455799 4.007851 1.0024918 2476.468
a[160] 3.227092 0.4995916 2.493697 4.062284 1.0025574 2037.090
a[161] 3.483832 0.5187249 2.720847 4.364205 1.0005231 2246.069
a[162] 3.263296 0.4795304 2.557736 4.074794 0.9999498 2361.918
a[163] 2.877889 0.4151514 2.247500 3.540874 0.9995893 2252.277
a[164] 2.578957 0.3928912 1.989840 3.220638 1.0019342 2222.149
a[165] 3.088158 0.4415471 2.428726 3.823692 1.0021180 2651.786
a[166] 3.123579 0.4536435 2.441320 3.880602 1.0008733 1670.159
a[167] 3.553906 0.5155578 2.786369 4.385612 1.0048068 2225.547
a[168] 3.367661 0.4602226 2.671009 4.123920 1.0012706 2363.054
a[169] 2.496143 0.3889063 1.922235 3.160897 1.0016009 2281.284
a[170] 2.793057 0.3838022 2.195498 3.413759 1.0014007 2178.918
a[171] 3.592974 0.5082706 2.826209 4.472592 1.0006279 1631.077
a[172] 3.005386 0.4169683 2.371120 3.674901 1.0001776 2704.694
a[173] 3.006284 0.4193732 2.371525 3.724722 1.0006507 1869.521
a[174] 2.876525 0.4050515 2.231523 3.553151 1.0074883 2669.300
a[175] 2.126052 0.3365822 1.606024 2.660757 0.9990362 2315.780
a[176] 2.880920 0.3898900 2.296329 3.523674 1.0014732 2646.807
a[177] 3.103035 0.4144312 2.469752 3.793159 1.0015535 2479.193
a[178] 2.542298 0.3374792 2.037296 3.078595 1.0006342 2194.380
a[179] 2.973525 0.3989975 2.376581 3.621261 1.0010199 2538.961
a[180] 3.311614 0.4365173 2.669237 4.024148 1.0024081 1773.245
a[181] 3.312338 0.4229628 2.671255 4.005933 1.0016921 2042.360
a[182] 3.326698 0.4424495 2.671715 4.053883 1.0021816 2651.916
a[183] 3.019678 0.3914470 2.415017 3.649390 1.0014232 2028.930
a[184] 3.220769 0.4097979 2.584936 3.887794 1.0025859 2523.732
a[185] 2.945581 0.3790739 2.366379 3.552976 1.0024245 2171.801
a[186] 2.388510 0.3161507 1.900256 2.908376 1.0003447 2903.129
a[187] 2.818759 0.3654760 2.249594 3.433451 1.0005491 2628.642
a[188] 2.533430 0.3033161 2.075519 3.031281 1.0042070 2386.543
a[189] 3.042886 0.3625984 2.497233 3.660456 1.0042415 2433.894
a[190] 3.329045 0.3989062 2.738824 3.996521 1.0038600 2319.942
a[191] 2.716091 0.3294709 2.192169 3.248628 1.0019882 2324.098
a[192] 3.134376 0.3475144 2.602932 3.699435 1.0019069 2484.129
a[193] 3.630875 0.4035482 3.023968 4.299209 1.0004686 2175.891
a[194] 3.031982 0.3144584 2.550192 3.551177 1.0020321 2386.642
a[195] 1.839717 0.2159436 1.500411 2.189902 1.0002159 3206.181
a[196] 3.673946 0.4171058 3.049787 4.365637 1.0049841 2322.883
a[197] 3.701305 0.4326346 3.055884 4.423650 1.0041725 2049.926
a[198] 2.527205 0.2299798 2.174565 2.895943 1.0019082 2683.536
a[199] 2.207506 0.1990486 1.892243 2.525835 0.9996039 3127.598
a[200] 2.494003 0.2204509 2.154302 2.854734 0.9988490 2496.224
